source_run,model_label,serving_mode,source_file,model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,(p)seq/s/worker,(d)seq/s/worker,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,backend_label,satisfies_sla,cluster_total_gpus,raw_candidate_tps,cluster_tps_8gpu,output_token_throughput_8gpu,per_gpu_throughput_8gpu,per_gpu_output_token_throughput,per_user_tps,plot_label,is_model_pareto_frontier
glm_vllm,GLM-5 NVFP4,disagg,glm_vllm/nvidia/GLM-5-NVFP4_b300_sxm_vllm_isl4000_osl1000_ttft2000_tpot30_648170/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,256,7.977,,,792.414,29.552,30314.862,7.977,0.997,7977.32,997.165,33.838,8,,,,,,,,,,,,,,,,,,,,,,0.0,997.165,1.0,2.0,2.0,64.0,256.0,1.0,4.543,8.671,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,209.774,vllm,0.19.0,b300_sxm,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,125.617,vllm,0.19.0,b300_sxm,0.0,0.0,0.0,,0.0,vllm,True,8,7977.32,7977.32,7977.32,997.165,997.165,33.838,GLM-5 NVFP4 / vllm / disagg,True
glm_trtllm,GLM-5 NVFP4,disagg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,256,7.24,,,895.084,29.523,30388.561,7.24,0.905,7239.6,904.95,33.871,8,,,,,,,,,,,,,,,,,,,,,,0.0,904.95,1.0,2.0,2.0,64.0,256.0,1.0,4.022,8.68,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,209.774,trtllm,1.3.0rc10,b300_sxm,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,125.617,trtllm,1.3.0rc10,b300_sxm,0.0,0.0,0.0,,0.0,trtllm,True,8,7239.6,7239.6,7239.6,904.95,904.95,33.871,GLM-5 NVFP4 / trtllm / disagg,True
glm_trtllm,GLM-5 NVFP4,disagg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,224,7.041,,,895.084,29.298,30163.786,7.041,0.88,7040.76,880.095,34.132,8,,,,,,,,,,,,,,,,,,,,,,0.0,880.095,1.0,2.0,2.0,56.0,224.0,1.0,4.022,7.653,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,209.774,trtllm,1.3.0rc10,b300_sxm,1.0,1.0,4.0,2.0,2.0,tp1pp1dp4etp2ep2,nvfp4,fp8,bfloat16,nvfp4,half,123.374,trtllm,1.3.0rc10,b300_sxm,0.0,0.0,0.0,,0.0,trtllm,True,8,7040.76,7040.76,7040.76,880.095,880.095,34.132,GLM-5 NVFP4 / trtllm / disagg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,160,5.541,20.0,160.0,1637.123,27.235,28844.542,5.541,0.693,5535.347,691.918,36.718,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,70.533,0.02,1.0,19.0,4019.0,4000.0,19.0,trtllm,1.3.0rc10,b300_sxm,0.0,691.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,8,5535.347,5535.344,5535.344,691.918,691.918,36.718,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,disagg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,144,5.39,,,895.084,24.602,25472.482,5.39,0.674,5390.28,673.785,40.647,8,,,,,,,,,,,,,,,,,,,,,,0.0,673.785,1.0,2.0,2.0,36.0,144.0,1.0,4.022,5.859,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,209.774,trtllm,1.3.0rc10,b300_sxm,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,117.766,trtllm,1.3.0rc10,b300_sxm,0.0,0.0,0.0,,0.0,trtllm,True,8,5390.28,5390.28,5390.28,673.785,673.785,40.647,GLM-5 NVFP4 / trtllm / disagg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,128,4.994,16.0,128.0,1520.592,23.983,25479.631,4.994,0.624,4988.667,623.583,41.696,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,69.412,0.016,1.0,15.0,4015.0,4000.0,15.0,trtllm,1.3.0rc10,b300_sxm,0.0,623.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,8,4988.667,4988.664,4988.664,623.583,623.583,41.696,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,120,4.804,15.0,120.0,1491.501,23.33,24798.197,4.804,0.6,4798.847,599.856,42.863,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,69.131,0.015,1.0,14.0,4014.0,4000.0,14.0,trtllm,1.3.0rc10,b300_sxm,0.0,599.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,8,4798.847,4798.848,4798.848,599.856,599.856,42.863,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,112,4.603,14.0,112.0,1462.425,22.677,24116.9,4.603,0.575,4598.839,574.855,44.097,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,68.851,0.014,1.0,13.0,4013.0,4000.0,13.0,trtllm,1.3.0rc10,b300_sxm,0.0,574.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,8,4598.839,4598.84,4598.84,574.855,574.855,44.097,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,104,4.392,13.0,104.0,1433.365,22.024,23435.74,4.392,0.549,4387.803,548.475,45.404,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,68.571,0.013,1.0,12.0,4012.0,4000.0,12.0,trtllm,1.3.0rc10,b300_sxm,0.0,548.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,8,4387.803,4387.8,4387.8,548.475,548.475,45.404,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,96,4.169,12.0,96.0,1404.319,21.372,22754.717,4.169,0.521,4164.809,520.601,46.791,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,68.29,0.012,1.0,11.0,4011.0,4000.0,11.0,trtllm,1.3.0rc10,b300_sxm,0.0,520.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,8,4164.809,4164.808,4164.808,520.601,520.601,46.791,GLM-5 NVFP4 / trtllm / agg,True
