source_run,model_label,serving_mode,source_file,model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,(p)seq/s/worker,(d)seq/s/worker,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,backend_label,satisfies_sla,cluster_total_gpus,raw_candidate_tps,cluster_tps_8gpu,output_token_throughput_8gpu,per_gpu_throughput_8gpu,per_user_tps,plot_label,is_model_pareto_frontier
glm_sglang_059,GLM-5 NVFP4,agg,glm_sglang_059/nvidia/GLM-5-NVFP4_b300_sxm_sglang_isl4000_osl1000_ttft2000_tpot30_116646/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,832,3.357,416.0,832.0,1986.265,247.106,248845.031,3.357,0.839,3353.455,838.364,4.047,4,2.0,1.0,2.0,1.0,4.0,tp2pp1dp2etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,226.735,0.416,1.0,415.0,4415.0,4000.0,415.0,sglang,0.5.9,b300_sxm,0.0,838.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sglang,False,8,3353.455,6706.912,6706.912,838.364,4.047,GLM-5 NVFP4 / sglang / agg,False
glm_sglang_059,GLM-5 NVFP4,agg,glm_sglang_059/nvidia/GLM-5-NVFP4_b300_sxm_sglang_isl4000_osl1000_ttft2000_tpot30_116646/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,768,3.334,384.0,768.0,1971.016,229.591,231332.739,3.334,0.833,3330.277,832.569,4.356,4,2.0,1.0,2.0,1.0,4.0,tp2pp1dp2etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,217.739,0.384,1.0,383.0,4383.0,4000.0,383.0,sglang,0.5.9,b300_sxm,0.0,832.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sglang,False,8,3330.277,6660.552,6660.552,832.569,4.356,GLM-5 NVFP4 / sglang / agg,False
glm_sglang_059,GLM-5 NVFP4,agg,glm_sglang_059/nvidia/GLM-5-NVFP4_b300_sxm_sglang_isl4000_osl1000_ttft2000_tpot30_116646/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,704,3.305,352.0,704.0,1955.65,212.191,213934.833,3.305,0.826,3301.525,825.381,4.713,4,2.0,1.0,2.0,1.0,4.0,tp2pp1dp2etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,208.743,0.352,1.0,351.0,4351.0,4000.0,351.0,sglang,0.5.9,b300_sxm,0.0,825.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sglang,False,8,3301.525,6603.048,6603.048,825.381,4.713,GLM-5 NVFP4 / sglang / agg,False
glm_sglang_059,GLM-5 NVFP4,agg,glm_sglang_059/nvidia/GLM-5-NVFP4_b300_sxm_sglang_isl4000_osl1000_ttft2000_tpot30_116646/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,640,3.271,320.0,640.0,1940.457,194.806,196551.342,3.271,0.818,3267.432,816.858,5.133,4,2.0,1.0,2.0,1.0,4.0,tp2pp1dp2etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,199.747,0.32,1.0,319.0,4319.0,4000.0,319.0,sglang,0.5.9,b300_sxm,0.0,816.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sglang,False,8,3267.432,6534.864,6534.864,816.858,5.133,GLM-5 NVFP4 / sglang / agg,False
glm_sglang_059,GLM-5 NVFP4,agg,glm_sglang_059/nvidia/GLM-5-NVFP4_b300_sxm_sglang_isl4000_osl1000_ttft2000_tpot30_116646/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,576,3.23,288.0,576.0,1925.263,177.422,179169.663,3.23,0.807,3226.674,806.668,5.636,4,2.0,1.0,2.0,1.0,4.0,tp2pp1dp2etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,190.751,0.288,1.0,287.0,4287.0,4000.0,287.0,sglang,0.5.9,b300_sxm,0.0,806.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sglang,False,8,3226.674,6453.344,6453.344,806.668,5.636,GLM-5 NVFP4 / sglang / agg,False
glm_sglang_059,GLM-5 NVFP4,agg,glm_sglang_059/nvidia/GLM-5-NVFP4_b300_sxm_sglang_isl4000_osl1000_ttft2000_tpot30_116646/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,512,3.181,256.0,512.0,1910.029,160.012,161762.124,3.181,0.795,3177.643,794.411,6.25,4,2.0,1.0,2.0,1.0,4.0,tp2pp1dp2etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,181.756,0.256,1.0,255.0,4255.0,4000.0,255.0,sglang,0.5.9,b300_sxm,0.0,794.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sglang,False,8,3177.643,6355.288,6355.288,794.411,6.25,GLM-5 NVFP4 / sglang / agg,False
glm_sglang_059,GLM-5 NVFP4,agg,glm_sglang_059/nvidia/GLM-5-NVFP4_b300_sxm_sglang_isl4000_osl1000_ttft2000_tpot30_116646/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,480,3.154,240.0,480.0,1901.789,151.191,152941.794,3.154,0.789,3151.337,787.834,6.614,4,2.0,1.0,2.0,1.0,4.0,tp2pp1dp2etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,177.258,0.24,1.0,239.0,4239.0,4000.0,239.0,sglang,0.5.9,b300_sxm,0.0,787.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sglang,False,8,3151.337,6302.672,6302.672,787.834,6.614,GLM-5 NVFP4 / sglang / agg,False
glm_sglang_059,GLM-5 NVFP4,agg,glm_sglang_059/nvidia/GLM-5-NVFP4_b300_sxm_sglang_isl4000_osl1000_ttft2000_tpot30_116646/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,448,3.125,224.0,448.0,1893.548,142.373,144124.286,3.125,0.781,3121.741,780.435,7.024,4,2.0,1.0,2.0,1.0,4.0,tp2pp1dp2etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,172.76,0.224,1.0,223.0,4223.0,4000.0,223.0,sglang,0.5.9,b300_sxm,0.0,780.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sglang,False,8,3121.741,6243.48,6243.48,780.435,7.024,GLM-5 NVFP4 / sglang / agg,False
glm_sglang_059,GLM-5 NVFP4,agg,glm_sglang_059/nvidia/GLM-5-NVFP4_b300_sxm_sglang_isl4000_osl1000_ttft2000_tpot30_116646/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,128,3.094,32.0,128.0,1882.995,39.85,41693.241,3.094,0.774,3091.09,772.772,25.094,4,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,122.583,0.032,1.0,31.0,4031.0,4000.0,31.0,sglang,0.5.9,b300_sxm,0.0,772.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sglang,False,8,3091.09,6182.176,6182.176,772.772,25.094,GLM-5 NVFP4 / sglang / agg,False
glm_sglang_059,GLM-5 NVFP4,agg,glm_sglang_059/nvidia/GLM-5-NVFP4_b300_sxm_sglang_isl4000_osl1000_ttft2000_tpot30_116646/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,224,5.936,28.0,224.0,1991.746,36.007,37962.749,5.936,0.742,5929.801,741.225,27.772,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,72.097,0.028,1.0,27.0,4027.0,4000.0,27.0,sglang,0.5.9,b300_sxm,0.0,741.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sglang,False,8,5929.801,5929.8,5929.8,741.225,27.772,GLM-5 NVFP4 / sglang / agg,False
