source_run,model_label,serving_mode,source_file,model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,(p)seq/s/worker,(d)seq/s/worker,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,backend_label,satisfies_sla,cluster_total_gpus,raw_candidate_tps,cluster_tps_72gpu,output_token_throughput_72gpu,per_gpu_throughput_72gpu,per_gpu_output_token_throughput,per_user_tps,plot_label,is_model_pareto_frontier
glm_trtllm,GLM-5 NVFP4,disagg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,2432,74.785,,,847.705,29.948,30765.757,74.785,1.039,74784.96,1038.68,33.391,72,,,,,,,,,,,,,,,,,,,,,,0.0,1038.68,1.0,1.0,20.0,76.0,608.0,4.0,4.247,20.322,1.0,2.0,1.0,1.0,1.0,tp1pp2dp1etp1ep1,nvfp4,fp8,bfloat16,nvfp4,half,207.116,trtllm,1.3.0rc10,gb300,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,79.623,trtllm,1.3.0rc10,gb300,0.0,0.0,0.0,,0.0,trtllm,True,72,74784.96,74784.96,74784.96,1038.68,1038.68,33.391,GLM-5 NVFP4 / trtllm / disagg,True
glm_vllm,GLM-5 NVFP4,disagg,glm_vllm/nvidia/GLM-5-NVFP4_gb300_vllm_isl4000_osl1000_ttft2000_tpot30_894333/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,2304,69.887,,,834.554,29.441,30246.113,69.887,0.971,69886.8,970.65,33.966,72,,,,,,,,,,,,,,,,,,,,,,0.0,970.65,1.0,2.0,18.0,64.0,256.0,9.0,4.314,8.704,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,209.774,vllm,0.19.0,gb300,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,125.617,vllm,0.19.0,gb300,0.0,0.0,0.0,,0.0,vllm,True,72,69886.8,69886.8,69886.8,970.65,970.65,33.966,GLM-5 NVFP4 / vllm / disagg,True
glm_trtllm,GLM-5 NVFP4,disagg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,816,22.934,,,847.705,29.277,30095.428,22.934,0.956,22933.8,955.575,34.157,24,,,,,,,,,,,,,,,,,,,,,,0.0,955.5750000000002,1.0,1.0,6.0,68.0,272.0,3.0,4.247,9.3,1.0,2.0,1.0,1.0,1.0,tp1pp2dp1etp1ep1,nvfp4,fp8,bfloat16,nvfp4,half,207.116,trtllm,1.3.0rc10,gb300,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,126.739,trtllm,1.3.0rc10,gb300,0.0,0.0,0.0,,0.0,trtllm,True,72,22933.8,68801.40000000001,68801.40000000001,955.5750000000002,955.5750000000002,34.157,GLM-5 NVFP4 / trtllm / disagg,True
glm_trtllm,GLM-5 NVFP4,disagg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,1760,61.157,,,847.705,24.874,25696.831,61.157,0.849,61156.8,849.4,40.203,72,,,,,,,,,,,,,,,,,,,,,,0.0,849.4,1.0,1.0,16.0,44.0,352.0,5.0,4.247,14.166,1.0,2.0,1.0,1.0,1.0,tp1pp2dp1etp1ep1,nvfp4,fp8,bfloat16,nvfp4,half,207.116,trtllm,1.3.0rc10,gb300,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,70.65,trtllm,1.3.0rc10,gb300,0.0,0.0,0.0,,0.0,trtllm,True,72,61156.8,61156.799999999996,61156.799999999996,849.4,849.4,40.203,GLM-5 NVFP4 / trtllm / disagg,True
glm_vllm,GLM-5 NVFP4,disagg,glm_vllm/nvidia/GLM-5-NVFP4_gb300_vllm_isl4000_osl1000_ttft2000_tpot30_894333/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,1280,46.591,,,834.554,24.411,25221.143,46.591,0.728,46591.2,727.988,40.965,64,,,,,,,,,,,,,,,,,,,,,,0.0,647.1004444444445,1.0,2.0,12.0,32.0,256.0,5.0,4.314,10.497,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,209.774,vllm,0.19.0,gb300,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,67.285,vllm,0.19.0,gb300,0.0,0.0,0.0,,0.0,vllm,True,72,46591.2,46591.232,46591.232,647.1004444444445,647.1004444444445,40.965,GLM-5 NVFP4 / vllm / disagg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,128,5.059,16.0,128.0,1490.215,23.684,25150.199,5.059,0.632,5054.299,631.787,42.223,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,69.412,0.016,1.0,15.0,4015.0,4000.0,15.0,trtllm,1.3.0rc10,gb300,0.0,631.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,5054.299,45488.664000000004,45488.664000000004,631.787,631.787,42.223,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,disagg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,320,14.981,,,847.705,19.671,20499.034,14.981,0.624,14981.28,624.22,50.836,24,,,,,,,,,,,,,,,,,,,,,,0.0,624.22,1.0,1.0,4.0,20.0,160.0,2.0,4.247,8.142,1.0,2.0,1.0,1.0,1.0,tp1pp2dp1etp1ep1,nvfp4,fp8,bfloat16,nvfp4,half,207.116,trtllm,1.3.0rc10,gb300,1.0,1.0,8.0,2.0,4.0,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,63.92,trtllm,1.3.0rc10,gb300,0.0,0.0,0.0,,0.0,trtllm,True,72,14981.28,44943.840000000004,44943.840000000004,624.22,624.22,50.836,GLM-5 NVFP4 / trtllm / disagg,True
glm_trtllm,GLM-5 NVFP4,disagg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,288,14.299,,,847.705,18.55,19379.155,14.299,0.596,14298.64,595.777,53.908,24,,,,,,,,,,,,,,,,,,,,,,0.0,595.777,1.0,1.0,4.0,18.0,144.0,2.0,4.247,7.771,1.0,2.0,1.0,1.0,1.0,tp1pp2dp1etp1ep1,nvfp4,fp8,bfloat16,nvfp4,half,207.116,trtllm,1.3.0rc10,gb300,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,63.359,trtllm,1.3.0rc10,gb300,0.0,0.0,0.0,,0.0,trtllm,True,72,14298.64,42895.944,42895.944,595.777,595.777,53.908,GLM-5 NVFP4 / trtllm / disagg,True
glm_trtllm,GLM-5 NVFP4,disagg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,768,39.496,,,847.705,17.906,18735.799,39.496,0.549,39495.6,548.55,55.846,72,,,,,,,,,,,,,,,,,,,,,,0.0,548.55,1.0,1.0,12.0,16.0,128.0,6.0,4.247,7.155,1.0,2.0,1.0,1.0,1.0,tp1pp2dp1etp1ep1,nvfp4,fp8,bfloat16,nvfp4,half,207.116,trtllm,1.3.0rc10,gb300,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,62.798,trtllm,1.3.0rc10,gb300,0.0,0.0,0.0,,0.0,trtllm,True,72,39495.6,39495.6,39495.6,548.55,548.55,55.846,GLM-5 NVFP4 / trtllm / disagg,True
glm_trtllm,GLM-5 NVFP4,disagg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,560,30.435,,,847.705,16.944,17774.761,30.435,0.423,30435.44,422.714,59.019,72,,,,,,,,,,,,,,,,,,,,,,0.0,422.714,1.0,1.0,8.0,80.0,80.0,7.0,4.247,4.726,1.0,2.0,1.0,1.0,1.0,tp1pp2dp1etp1ep1,nvfp4,fp8,bfloat16,nvfp4,half,207.116,trtllm,1.3.0rc10,gb300,8.0,1.0,1.0,1.0,8.0,tp8pp1dp1etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,78.226,trtllm,1.3.0rc10,gb300,0.0,0.0,0.0,,0.0,trtllm,True,72,30435.44,30435.408,30435.408,422.714,422.714,59.019,GLM-5 NVFP4 / trtllm / disagg,True
glm_trtllm,GLM-5 NVFP4,disagg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,532,29.032,,,847.705,16.875,17705.83,29.032,0.403,29031.52,403.216,59.26,72,,,,,,,,,,,,,,,,,,,,,,0.0,403.216,1.0,1.0,8.0,76.0,76.0,7.0,4.247,4.508,1.0,2.0,1.0,1.0,1.0,tp1pp2dp1etp1ep1,nvfp4,fp8,bfloat16,nvfp4,half,207.116,trtllm,1.3.0rc10,gb300,8.0,1.0,1.0,2.0,4.0,tp8pp1dp1etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,77.105,trtllm,1.3.0rc10,gb300,0.0,0.0,0.0,,0.0,trtllm,True,72,29031.52,29031.552,29031.552,403.216,403.216,59.26,GLM-5 NVFP4 / trtllm / disagg,True
glm_trtllm,GLM-5 NVFP4,disagg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,476,27.615,,,847.705,15.873,16704.832,27.615,0.384,27614.72,383.538,63.0,72,,,,,,,,,,,,,,,,,,,,,,0.0,383.538,1.0,1.0,8.0,68.0,68.0,7.0,4.247,4.288,1.0,2.0,1.0,1.0,1.0,tp1pp2dp1etp1ep1,nvfp4,fp8,bfloat16,nvfp4,half,207.116,trtllm,1.3.0rc10,gb300,8.0,1.0,1.0,1.0,8.0,tp8pp1dp1etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,74.862,trtllm,1.3.0rc10,gb300,0.0,0.0,0.0,,0.0,trtllm,True,72,27614.72,27614.736,27614.736,383.538,383.538,63.0,GLM-5 NVFP4 / trtllm / disagg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,32,1.918,4.0,32.0,1149.755,15.043,16177.514,1.918,0.24,1916.519,239.565,66.477,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,66.047,0.004,1.0,3.0,4003.0,4000.0,3.0,trtllm,1.3.0rc10,gb300,0.0,239.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,1916.519,17248.68,17248.68,239.565,239.565,66.477,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,14,0.874,14.0,14.0,870.636,14.869,15724.306,0.874,0.219,873.516,218.379,67.256,4,4.0,1.0,1.0,2.0,2.0,tp4pp1dp1etp2ep2,nvfp4,fp8,bfloat16,nvfp4,half,112.607,0.007,2.0,12.0,8012.0,8000.0,12.0,trtllm,1.3.0rc10,gb300,0.0,218.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,873.516,15723.287999999999,15723.287999999999,218.379,218.379,67.256,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,disagg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,224,14.986,,,847.705,13.763,14596.942,14.986,0.234,14985.88,234.154,72.656,64,,,,,,,,,,,,,,,,,,,,,,0.0,208.13688888888888,1.0,1.0,4.0,32.0,32.0,7.0,4.247,2.327,1.0,2.0,1.0,1.0,1.0,tp1pp2dp1etp1ep1,nvfp4,fp8,bfloat16,nvfp4,half,207.116,trtllm,1.3.0rc10,gb300,8.0,1.0,1.0,1.0,8.0,tp8pp1dp1etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,64.767,trtllm,1.3.0rc10,gb300,0.0,0.0,0.0,,0.0,trtllm,True,72,14985.88,14985.856,14985.856,208.13688888888888,208.13688888888888,72.656,GLM-5 NVFP4 / trtllm / disagg,True
glm_trtllm,GLM-5 NVFP4,disagg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,176,12.674,,,847.705,12.786,13620.919,12.674,0.176,12673.92,176.027,78.211,72,,,,,,,,,,,,,,,,,,,,,,0.0,176.027,1.0,1.0,4.0,22.0,22.0,8.0,4.247,1.722,1.0,2.0,1.0,1.0,1.0,tp1pp2dp1etp1ep1,nvfp4,fp8,bfloat16,nvfp4,half,207.116,trtllm,1.3.0rc10,gb300,8.0,1.0,1.0,1.0,8.0,tp8pp1dp1etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,61.963,trtllm,1.3.0rc10,gb300,0.0,0.0,0.0,,0.0,trtllm,True,72,12673.92,12673.944,12673.944,176.027,176.027,78.211,GLM-5 NVFP4 / trtllm / disagg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,8,0.587,8.0,8.0,810.691,12.471,13268.749,0.587,0.147,586.806,146.701,80.189,4,4.0,1.0,1.0,2.0,2.0,tp4pp1dp1etp2ep2,nvfp4,fp8,bfloat16,nvfp4,half,110.924,0.004,2.0,6.0,8006.0,8000.0,6.0,trtllm,1.3.0rc10,gb300,0.0,146.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,586.806,10562.472,10562.472,146.701,146.701,80.189,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,disagg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,128,9.914,,,847.705,11.893,12728.812,9.914,0.138,9913.92,137.693,84.085,72,,,,,,,,,,,,,,,,,,,,,,0.0,137.693,1.0,1.0,4.0,16.0,16.0,8.0,4.247,1.347,1.0,2.0,1.0,1.0,1.0,tp1pp2dp1etp1ep1,nvfp4,fp8,bfloat16,nvfp4,half,207.116,trtllm,1.3.0rc10,gb300,8.0,1.0,1.0,1.0,8.0,tp8pp1dp1etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,60.281,trtllm,1.3.0rc10,gb300,0.0,0.0,0.0,,0.0,trtllm,True,72,9913.92,9913.896,9913.896,137.693,137.693,84.085,GLM-5 NVFP4 / trtllm / disagg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,6,0.477,6.0,6.0,790.851,11.811,12590.325,0.477,0.119,476.527,119.132,84.665,4,4.0,1.0,1.0,2.0,2.0,tp4pp1dp1etp2ep2,nvfp4,fp8,bfloat16,nvfp4,half,110.364,0.003,2.0,4.0,8004.0,8000.0,4.0,trtllm,1.3.0rc10,gb300,0.0,119.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,476.527,8577.504,8577.504,119.132,119.132,84.665,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,11,0.863,11.0,11.0,751.29,11.73,12469.878,0.863,0.108,862.326,107.791,85.249,8,8.0,1.0,1.0,2.0,4.0,tp8pp1dp1etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,60.992,0.006,2.0,9.0,8009.0,8000.0,9.0,trtllm,1.3.0rc10,gb300,0.0,107.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,862.326,7760.951999999999,7760.951999999999,107.791,107.791,85.249,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,5,0.411,5.0,5.0,470.275,11.518,11977.169,0.411,0.103,410.919,102.73,86.818,4,4.0,1.0,1.0,2.0,2.0,tp4pp1dp1etp2ep2,nvfp4,fp8,bfloat16,nvfp4,half,110.083,0.005,1.0,4.0,4004.0,4000.0,4.0,trtllm,1.3.0rc10,gb300,0.0,102.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,410.919,7396.56,7396.56,102.73,102.73,86.818,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,10,0.817,10.0,10.0,733.726,11.222,11944.225,0.817,0.102,816.428,102.053,89.113,8,8.0,1.0,1.0,2.0,4.0,tp8pp1dp1etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,60.712,0.005,2.0,8.0,8008.0,8000.0,8.0,trtllm,1.3.0rc10,gb300,0.0,102.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,816.428,7347.816,7347.816,102.053,102.053,89.113,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,9,0.746,9.0,9.0,733.538,11.054,11776.465,0.746,0.093,744.983,93.123,90.465,8,8.0,1.0,1.0,2.0,4.0,tp8pp1dp1etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,60.431,0.004,2.0,7.0,8007.0,8000.0,7.0,trtllm,1.3.0rc10,gb300,0.0,93.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,744.983,6704.856000000001,6704.856000000001,93.123,93.123,90.465,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,8,0.693,8.0,8.0,715.889,10.524,11229.23,0.693,0.087,692.552,86.569,95.022,8,8.0,1.0,1.0,2.0,4.0,tp8pp1dp1etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,60.151,0.004,2.0,6.0,8006.0,8000.0,6.0,trtllm,1.3.0rc10,gb300,0.0,86.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,692.552,6232.968,6232.968,86.569,86.569,95.022,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,7,0.612,7.0,7.0,715.705,10.417,11122.622,0.612,0.077,611.626,76.453,95.994,8,8.0,1.0,1.0,2.0,4.0,tp8pp1dp1etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,59.87,0.004,2.0,5.0,8005.0,8000.0,5.0,trtllm,1.3.0rc10,gb300,0.0,76.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,611.626,5504.616,5504.616,76.453,76.453,95.994,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,6,0.547,6.0,6.0,698.07,10.289,10976.868,0.547,0.068,546.57,68.321,97.19,8,8.0,1.0,1.0,2.0,4.0,tp8pp1dp1etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,59.59,0.003,2.0,4.0,8004.0,8000.0,4.0,trtllm,1.3.0rc10,gb300,0.0,68.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,546.57,4919.112,4919.112,68.321,68.321,97.19,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,5,0.464,5.0,5.0,441.495,10.172,10603.665,0.464,0.058,463.679,57.96,98.306,8,8.0,1.0,1.0,4.0,2.0,tp8pp1dp1etp4ep2,nvfp4,fp8,bfloat16,nvfp4,half,60.31,0.005,1.0,4.0,4004.0,4000.0,4.0,trtllm,1.3.0rc10,gb300,0.0,57.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,72,463.679,4173.12,4173.12,57.96,57.96,98.306,GLM-5 NVFP4 / trtllm / agg,True
