source_run,model_label,serving_mode,source_file,model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,(p)seq/s/worker,(d)seq/s/worker,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,backend_label,satisfies_sla,cluster_total_gpus,raw_candidate_tps,cluster_tps_72gpu,output_token_throughput_72gpu,per_gpu_throughput_72gpu,per_gpu_output_token_throughput,per_user_tps,plot_label,is_model_pareto_frontier
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,2048,6.971,512.0,1024.0,1977.541,293.18,294864.17,6.971,1.743,6964.151,1741.038,3.411,4,1.0,2.0,2.0,1.0,2.0,tp1pp2dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,255.193,0.512,1.0,511.0,4511.0,4000.0,511.0,trtllm,1.3.0rc10,gb300,0.0,1741.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,6964.151,125354.736,125354.736,1741.038,1741.038,3.411,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,1920,6.928,480.0,960.0,1963.019,276.503,278189.914,6.928,1.732,6920.825,1730.206,3.617,4,1.0,2.0,2.0,1.0,2.0,tp1pp2dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,246.22,0.48,1.0,479.0,4479.0,4000.0,479.0,trtllm,1.3.0rc10,gb300,0.0,1730.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,6920.825,124574.832,124574.832,1730.206,1730.206,3.617,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,1792,6.878,448.0,896.0,1948.497,259.845,261533.842,6.878,1.72,6871.487,1717.872,3.848,4,1.0,2.0,2.0,1.0,2.0,tp1pp2dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,237.247,0.448,1.0,447.0,4447.0,4000.0,447.0,trtllm,1.3.0rc10,gb300,0.0,1717.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,6871.487,123686.784,123686.784,1717.872,1717.872,3.848,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,1664,6.822,416.0,832.0,1933.975,243.205,244895.952,6.822,1.705,6814.918,1703.729,4.112,4,1.0,2.0,2.0,1.0,2.0,tp1pp2dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,228.274,0.416,1.0,415.0,4415.0,4000.0,415.0,trtllm,1.3.0rc10,gb300,0.0,1703.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,6814.918,122668.488,122668.488,1703.729,1703.729,4.112,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,1536,6.754,384.0,768.0,1919.453,226.654,228346.726,6.754,1.689,6747.461,1686.865,4.412,4,1.0,2.0,2.0,1.0,2.0,tp1pp2dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,219.301,0.384,1.0,383.0,4383.0,4000.0,383.0,trtllm,1.3.0rc10,gb300,0.0,1686.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,6747.461,121454.28,121454.28,1686.865,1686.865,4.412,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,1408,6.688,352.0,704.0,1905.15,209.727,211422.47,6.688,1.672,6681.299,1670.325,4.768,4,1.0,2.0,2.0,1.0,2.0,tp1pp2dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,210.328,0.352,1.0,351.0,4351.0,4000.0,351.0,trtllm,1.3.0rc10,gb300,0.0,1670.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,6681.299,120263.40000000001,120263.40000000001,1670.325,1670.325,4.768,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,1280,6.611,320.0,640.0,1890.674,192.769,194466.781,6.611,1.653,6604.666,1651.167,5.188,4,1.0,2.0,2.0,1.0,2.0,tp1pp2dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,201.356,0.32,1.0,319.0,4319.0,4000.0,319.0,trtllm,1.3.0rc10,gb300,0.0,1651.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,6604.666,118884.02399999999,118884.02399999999,1651.167,1651.167,5.188,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,1152,6.52,288.0,576.0,1876.197,175.795,177495.653,6.52,1.63,6513.926,1628.482,5.688,4,1.0,2.0,2.0,1.0,2.0,tp1pp2dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,192.383,0.288,1.0,287.0,4287.0,4000.0,287.0,trtllm,1.3.0rc10,gb300,0.0,1628.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,6513.926,117250.704,117250.704,1628.482,1628.482,5.688,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,1024,6.414,256.0,512.0,1861.722,158.738,160440.592,6.414,1.603,6407.308,1601.827,6.3,4,1.0,2.0,2.0,1.0,2.0,tp1pp2dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,183.41,0.256,1.0,255.0,4255.0,4000.0,255.0,trtllm,1.3.0rc10,gb300,0.0,1601.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,6407.308,115331.544,115331.544,1601.827,1601.827,6.3,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,960,6.345,240.0,480.0,1854.499,150.354,152058.328,6.345,1.586,6338.917,1584.729,6.651,4,1.0,2.0,2.0,1.0,2.0,tp1pp2dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,178.923,0.24,1.0,239.0,4239.0,4000.0,239.0,trtllm,1.3.0rc10,gb300,0.0,1584.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,6338.917,114100.488,114100.488,1584.729,1584.729,6.651,GLM-5 NVFP4 / trtllm / agg,False
